4,5,2,5,3,6,3,5,3,4,7,4,2,3,4,5,2,6,4,7,7,4,2,3,3,6,1,7,6,9,4,3,2,2,3,3,2,1,5,2,3,5,3,2,2,2,3,6,5,3,5,5,5,5,4,6,4,2,1,2,3,2,7,5,8,6,1,5,9,3,3,4,3,4,5,2,4,3,4,4,4,8,8,10,2,1,2,4,4,5,8,2,6,1,3,7,6,4,2,4,3,2,2,5,4,4,6,3,1,2,3,4,4,1,1,1,5,4,1,3,9,3,4,5,3,3,3,7
1,4,1,4,3,4,2,4,7,5,3,3,3,4,1,2,4,2,5,4,6,6,3,4,5,2,6,4,3,3,5,4,0,9,3,3,4,4,3,4,7,2,4,2,3,5,7,6,4,5,2,6,2,7,3,5,2,3,2,5,4,6,3,3,4,3,7,5,5,2,4,3,1,6,3,1,4,3,4,4,4,8,8,10,2,1,2,4,4,5,8,2,6,1,3,7,6,4,2,4,3,2,2,5,4,4,6,3,1,2,3,4,4,1,1,1,5,4,1,3,9,3,4,5,3,3,3,7
5,4,1,4,3,4,2,4,7,5,3,3,3,4,1,2,4,2,5,4,6,6,3,4,5,2,6,4,3,3,5,4,0,9,3,3,4,4,3,4,7,2,4,2,3,5,7,6,4,5,2,6,2,7,3,5,2,3,2,5,4,6,3,3,4,3,7,5,5,2,4,3,1,6,3,3,5,4,5,2,6,3,5,3,2,3,4,5,6,3,0,3,3,6,4,5,7,3,3,4,6,4,7,5,7,7,3,4,2,3,5,8,2,5,5,2,3,4,6,3,1,3,5,3,6,1,6,7
5,7,4,1,2,3,8,3,10,2,2,3,6,2,8,3,5,7,4,7,2,7,1,1,2,4,5,3,2,0,3,4,4,2,5,7,3,3,4,3,3,4,9,4,2,2,3,3,7,4,9,3,3,6,4,2,3,4,4,4,3,11,3,5,2,3,4,4,6,3,2,6,5,2,2,3,5,4,5,2,6,3,5,3,2,3,4,5,6,3,0,3,3,6,4,5,7,3,3,4,6,4,7,5,7,7,3,4,2,3,5,8,2,5,5,2,3,4,6,3,1,3,5,3,6,1,6,7
4,7,4,1,2,3,8,3,10,2,2,3,6,2,8,3,5,7,4,7,2,7,1,1,2,4,5,3,2,0,3,4,4,2,5,7,3,3,4,3,3,4,9,4,2,2,3,3,7,4,9,3,3,6,4,2,3,4,4,4,3,11,3,5,2,3,4,4,6,3,2,6,5,2,2,3,4,4,5,8,4,6,4,4,3,3,3,3,2,5,2,4,5,4,5,2,2,7,6,5,3,3,5,5,4,3,3,5,2,6,4,3,4,3,7,3,5,4,4,4,2,6,7,8,6,6,9,5
4,2,6,5,3,1,6,2,4,7,6,2,2,3,4,4,2,4,4,6,5,5,2,2,9,7,6,12,1,3,0,2,5,5,4,2,3,2,6,2,6,5,2,6,3,1,2,4,5,4,3,3,4,6,4,3,3,0,3,4,2,1,4,6,8,4,3,5,2,2,6,1,3,7,7,3,4,4,5,8,4,6,4,4,3,3,3,3,2,5,2,4,5,4,5,2,2,7,6,5,3,3,5,5,4,3,3,5,2,6,4,3,4,3,7,3,5,4,4,4,2,6,7,8,6,6,9,5
4,2,6,5,3,1,6,2,4,7,6,2,2,3,4,4,2,4,4,6,5,5,2,2,9,7,6,12,1,3,0,2,5,5,4,2,3,2,6,2,6,5,2,6,3,1,2,4,5,4,3,3,4,6,4,3,3,0,3,4,2,1,4,6,8,4,3,5,2,2,6,1,3,7,7,3,3,6,2,0,6,2,4,5,8,1,5,8,3,4,1,3,2,7,2,1,6,6,3,2,6,5,3,4,3,3,2,7,6,3,4,2,2,4,6,4,4,2,1,3,4,3,3,4,3,3,6,2
4,7,3,1,3,2,6,3,5,4,5,1,1,4,4,3,4,1,2,6,7,1,6,5,1,4,6,0,7,6,4,5,6,4,7,5,4,3,6,1,4,2,3,3,8,2,5,13,2,6,2,2,1,1,8,2,3,6,4,6,2,1,3,4,2,3,3,7,2,4,5,6,4,3,5,3,3,6,2,0,6,2,4,5,8,1,5,8,3,4,1,3,2,7,2,1,6,6,3,2,6,5,3,4,3,3,2,7,6,3,4,2,2,4,6,4,4,2,1,3,4,3,3,4,3,3,6,2
2,7,3,1,3,2,6,3,5,4,5,1,1,4,4,3,4,1,2,6,7,1,6,5,1,4,6,0,7,6,4,5,6,4,7,5,4,3,6,1,4,2,3,3,8,2,5,13,2,6,2,2,1,1,8,2,3,6,4,6,2,1,3,4,2,3,3,7,2,4,5,6,4,3,5,7,2,1,3,4,2,4,6,3,3,6,1,4,6,3,4,5,4,3,4,3,2,1,3,3,3,6,6,2,5,2,7,4,2,5,7,2,1,3,3,11,7,3,5,3,4,5,5,5,3,2,1,5
2,4,3,7,2,3,5,2,5,5,5,4,5,6,3,0,4,3,5,2,4,4,4,10,3,2,2,6,3,2,2,5,5,1,3,3,7,3,4,4,4,1,7,5,5,2,5,12,5,2,6,6,3,1,3,4,4,3,2,4,5,3,2,4,6,7,6,5,4,3,2,4,3,6,6,7,2,1,3,4,2,4,6,3,3,6,1,4,6,3,4,5,4,3,4,3,2,1,3,3,3,6,6,2,5,2,7,4,2,5,7,2,1,3,3,11,7,3,5,3,4,5,5,5,3,2,1,5
